Model: SAM2
  miou
    Rotation(+20)|sev2: mean=0.2837 (n=4952)
    Rotation(-20)|sev2: mean=0.3074 (n=4952)
    TextOverlay|sev2: mean=0.6803 (n=4952)
    BoxOverlay|sev2: mean=0.5172 (n=4952)
    RandomText|sev2: mean=0.6691 (n=4952)
    LowPassKeep(0.28)|sev2: mean=0.6954 (n=4952)
    HighPassKeep(0.28)|sev2: mean=0.6213 (n=4952)
    LowBandNoise(0.28)|sev2: mean=0.6889 (n=4952)
    HighBandNoise(0.28)|sev2: mean=0.6894 (n=4952)
    AllBandNoise(0.28)|sev2: mean=0.6887 (n=4952)
    Translation(+12)|sev3: mean=0.6966 (n=4952)
    Translation(-12)|sev3: mean=0.6936 (n=4952)
    PadCrop(+12)|sev3: mean=0.6958 (n=4952)
    PadCrop(-12)|sev3: mean=0.6964 (n=4952)
    Scale(0.85)|sev3: mean=0.6888 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=0.6933 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=0.6915 (n=4952)
    Rotation(+30)|sev3: mean=0.2018 (n=4952)
    Rotation(-30)|sev3: mean=0.2195 (n=4952)
    TextOverlay|sev3: mean=0.6747 (n=4952)
    BoxOverlay|sev3: mean=0.4737 (n=4952)
    RandomText|sev3: mean=0.6608 (n=4952)
    LowPassKeep(0.38)|sev3: mean=0.6935 (n=4952)
    HighPassKeep(0.38)|sev3: mean=0.5922 (n=4952)
    LowBandNoise(0.38)|sev3: mean=0.6906 (n=4952)
    HighBandNoise(0.38)|sev3: mean=0.6897 (n=4952)
    AllBandNoise(0.38)|sev3: mean=0.6927 (n=4952)
  boundary_f
    Base|sev0: mean=0.5043 (n=4952)
    Translation(+4)|sev1: mean=0.5087 (n=4952)
    Translation(-4)|sev1: mean=0.5103 (n=4952)
    PadCrop(+4)|sev1: mean=0.5147 (n=4952)
    PadCrop(-4)|sev1: mean=0.5204 (n=4952)
    Scale(0.95)|sev1: mean=0.5154 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=0.5251 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=0.5209 (n=4952)
    Rotation(+10)|sev1: mean=0.3054 (n=4952)
    Rotation(-10)|sev1: mean=0.3179 (n=4952)
    TextOverlay|sev1: mean=0.4938 (n=4952)
    BoxOverlay|sev1: mean=0.4282 (n=4952)
    RandomText|sev1: mean=0.4857 (n=4952)
    LowPassKeep(0.18)|sev1: mean=0.4890 (n=4952)
    HighPassKeep(0.18)|sev1: mean=0.3723 (n=4952)
    LowBandNoise(0.18)|sev1: mean=0.5056 (n=4952)
    HighBandNoise(0.18)|sev1: mean=0.5037 (n=4952)
    AllBandNoise(0.18)|sev1: mean=0.5040 (n=4952)
    Translation(+8)|sev2: mean=0.5111 (n=4952)
    Translation(-8)|sev2: mean=0.5109 (n=4952)
    PadCrop(+8)|sev2: mean=0.5135 (n=4952)
    PadCrop(-8)|sev2: mean=0.5296 (n=4952)
    Scale(0.90)|sev2: mean=0.5262 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=0.5322 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=0.5307 (n=4952)
    Rotation(+20)|sev2: mean=0.1947 (n=4952)
    Rotation(-20)|sev2: mean=0.2057 (n=4952)
    TextOverlay|sev2: mean=0.4916 (n=4952)
    BoxOverlay|sev2: mean=0.3976 (n=4952)
    RandomText|sev2: mean=0.4802 (n=4952)
    LowPassKeep(0.28)|sev2: mean=0.5075 (n=4952)
    HighPassKeep(0.28)|sev2: mean=0.3380 (n=4952)
    LowBandNoise(0.28)|sev2: mean=0.5027 (n=4952)
    HighBandNoise(0.28)|sev2: mean=0.5021 (n=4952)
    AllBandNoise(0.28)|sev2: mean=0.5023 (n=4952)
    Translation(+12)|sev3: mean=0.5132 (n=4952)
    Translation(-12)|sev3: mean=0.5125 (n=4952)
    PadCrop(+12)|sev3: mean=0.5142 (n=4952)
    PadCrop(-12)|sev3: mean=0.5331 (n=4952)
    Scale(0.85)|sev3: mean=0.5397 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=0.5470 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=0.5426 (n=4952)
    Rotation(+30)|sev3: mean=0.1438 (n=4952)
    Rotation(-30)|sev3: mean=0.1505 (n=4952)
